Mas_Cons,MasMin,MasMax,CatMas,Diff
A1,0.5,2.5,Set2_R_Short,2
A2,0,2,No_Short,2
A3,0.5,10.3,Set1_R_Long,9.8
A4,-5,4.4,Set2_R_Short,9.4
A5,0.6,3.3,Set1_R_Long,2.7
A6,0,31.1,Set1_R_Short,31.1
A7,-1.9,20.8,Set2_R_Short,22.7
A8,0,38.4,Set1_R_Short,38.4
A9,0,33.6,Set1_R_Short,33.6
A10,0,22.9,Set1_R_Short,22.9
A11,1,2.2,Set3_R_Long,1.2
A12,0,18.2,Set1_R_Short,18.2
A13,0,8.2,Set1_R_Short,8.2
A14,3.2,23.3,Set1_R_Long,20.1
A15,2.5,50.5,Set1_R_Long,48
A16,0.9,2.4,Set4_R_Long,1.5
A17,-0.2,1.8,Set4_R_Long,2
A18,0.9,2.1,Set1_R_Long,1.2
A19,-9.4,17.2,Set4_R_Long,26.6
A20,-14,7.1,Set2_R_Short,21.1
A21,-0.2,12.9,Set4_R_Long,13.1
A22,0,57.9,Set1_R_Short,57.9
A23,-0.2,7,Set3_R_Long,7.2
A24,0,2,No_Short,2
A25,-4,4.6,Set3_R_Long,8.6
A26,9.1,17.6,Set1_R_Long,8.5
A27,-8.3,2.5,Set2_R_Short,10.8
A28,0.9,9.4,Set1_R_Long,8.5
A29,0.5,15.9,Set2_R_Short,15.4
A30,0,77.4,Set1_R_Short,77.4
A31,-20.9,11,Set2_R_Short,31.9
A32,-6.8,3.4,Set4_R_Long,10.2
A33,-24.8,3.4,Set2_R_Short,28.2
A34,-5,16.1,Set1_R_Short,21.1
A35,-10.6,5.5,Set2_R_Short,16.1
A36,3.1,16.4,Set1_R_Long,13.3
A37,3.9,64.1,Set1_R_Long,60.2
A38,-5,9,Set1_R_Short,14
A39,0.9,3.7,Set2_R_Long,2.8
A40,0.5,2.7,Set3_R_Long,2.2
A41,-7.5,12.9,Set2_R_Short,20.4
A42,0.2,8.1,Set1_R_Long,7.9
A43,-0.9,2.1,Set3_R_Long,3
A44,0,44.3,Set1_R_Short,44.3
A45,-0.6,0,Set4_R_Short,0.6
A46,-12.5,4.4,Set2_R_Short,16.9
A47,0,2,No_Short,2
A48,0,2,No_Short_2,2
A49,0,2,No_Short_2,2
A50,0,2,No_Short_2,2
A51,0,2,No_Short_2,2
A52,0,2,No_Short_2,2
A53,0,2,No_Short_2,2
A54,0,2,No_Short_2,2
A55,0,2,No_Short_2,2
A56,0,2,No_Short_2,2
A57,0,2,No_Short_2,2
A58,0,2,No_Short_2,2
A59,0,2,No_Short_2,2
A60,0,2,No_Short_2,2
A61,0,2,No_Short_2,2
A62,0,2,No_Short_2,2
A63,0,2,No_Short_2,2
A64,0,2,No_Short_2,2
A65,0,2,No_Short_2,2
A66,0,2,No_Short_2,2
A67,0,2,No_Short_2,2
A68,0,2,No_Short_2,2
A69,0,2,No_Short_2,2
A70,0,2,No_Short_2,2
A71,0,2,No_Short_2,2
A72,0,2,No_Short_2,2
A73,0,2,No_Short_2,2
A74,0,2,No_Short_2,2
A75,0,2,No_Short_2,2
A76,0,2,No_Short_2,2
